Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1770253,Euro,2025-05-30,2:02,Países Baixos,Ucrânia,0,1,1,3.10,2.25,3.10,2.25,2.25,3.50,3.10,0-1,7.00,30-05-2025 02:16
1770260,Euro,2025-05-30,2:05,Suíça,República Tcheca,0,0,0,3.00,2.40,3.00,2.40,2.40,3.30,3.00,0-0,8.50,30-05-2025 02:16
1770267,Euro,2025-05-30,2:08,Hungria,Alemanha,1,3,4,2.90,2.45,2.90,2.45,2.90,3.40,2.45,1-3,7.50,30-05-2025 02:16
1770274,Euro,2025-05-30,2:11,Dinamarca,Inglaterra,2,0,2,2.50,2.80,2.50,2.80,2.80,3.50,2.50,2-0,7.50,30-05-2025 02:16
1770281,Euro,2025-05-30,2:14,Turquia,Polônia,1,1,2,3.20,2.35,3.20,2.35,2.35,3.20,3.20,1-1,10.00,30-05-2025 02:16
1770288,Euro,2025-05-30,2:17,Eslováquia,Itália,0,2,2,2.37,3.00,2.37,3.00,3.00,3.40,2.37,0-2,8.00,30-05-2025 02:16
1770295,Euro,2025-05-30,2:20,Áustria,Eslovênia,1,2,3,2.35,3.20,3.20,2.35,2.35,3.20,3.20,1-2,10.00,30-05-2025 02:16
1770302,Euro,2025-05-30,2:23,Países Baixos,Alemanha,2,2,4,2.70,2.55,2.70,2.55,2.70,3.60,2.55,2-2,6.50,30-05-2025 02:16
1770309,Euro,2025-05-30,2:26,Sérvia,Turquia,1,1,2,3.00,2.50,3.00,2.50,2.50,3.20,3.00,1-1,10.00,30-05-2025 02:16
1770316,Euro,2025-05-30,2:29,Alemanha,Romênia,0,1,1,3.50,2.05,3.50,2.05,2.05,3.60,3.50,0-1,6.50,30-05-2025 02:16
1770323,Euro,2025-05-30,2:32,Turquia,Suíça,1,3,4,2.45,2.90,2.45,2.90,2.45,3.40,2.90,1-3,8.00,30-05-2025 02:16
1770330,Euro,2025-05-30,2:35,Croácia,Alemanha,1,0,1,2.55,2.70,2.55,2.70,2.70,3.50,2.55,1-0,7.00,30-05-2025 02:16
1770337,Euro,2025-05-30,2:38,Romênia,Polônia,2,2,4,2.45,2.87,2.45,2.87,2.45,3.40,2.87,2-2,8.00,30-05-2025 02:16
1770344,Euro,2025-05-30,2:41,Eslováquia,Croácia,2,3,5,2.87,2.45,2.87,2.45,2.87,3.40,2.45,2-3,7.50,30-05-2025 02:16
1770351,Euro,2025-05-30,2:44,Inglaterra,Alemanha,0,0,0,2.87,2.37,2.87,2.37,2.37,3.60,2.87,0-0,6.50,30-05-2025 02:16
1770357,Euro,2025-05-30,2:47,Escócia,República Tcheca,0,3,3,2.50,2.90,2.90,2.50,2.50,3.30,2.90,0-3,9.00,30-05-2025 02:16
1770365,Euro,2025-05-30,2:50,Dinamarca,Albânia,0,0,0,3.40,2.30,3.40,2.30,2.30,3.20,3.40,0-0,10.00,30-05-2025 02:16
1770372,Euro,2025-05-30,2:53,Escócia,Geórgia,2,0,2,3.40,2.20,3.40,2.20,2.20,3.40,3.40,2-0,8.00,30-05-2025 02:16
1770379,Euro,2025-05-30,2:56,Inglaterra,Dinamarca,3,3,6,2.20,3.25,2.20,3.25,2.20,3.50,3.25,3-3,7.50,30-05-2025 02:16
1770386,Euro,2025-05-30,2:59,Países Baixos,Áustria,1,3,4,2.37,2.90,2.37,2.90,2.37,3.50,2.90,1-3,7.00,30-05-2025 02:16
1770113,Euro,2025-05-30,1:02,Alemanha,Escócia,2,0,2,3.40,2.10,3.40,2.10,2.10,3.60,3.40,2-0,7.00,30-05-2025 02:16
1770120,Euro,2025-05-30,1:05,Espanha,Inglaterra,2,1,3,2.60,2.60,2.60,2.60,2.60,3.60,2.60,2-1,6.00,30-05-2025 02:16
